sentence1;sentence2
Conceptually cream skimming has two basic dimensions - product and geography.;Product and geography are what make cream skimming work. 
you know during the season and i guess at at your level uh you lose them to the next level if if they decide to recall the the parent team the Braves decide to call to recall a guy from triple A then a double A guy goes up to replace him and a single A guy goes up to replace him;You lose the things to the following level if the people recall.
One of our number will carry out your instructions minutely.;A member of my team will execute your orders with immense precision.
How do you know? All this is their information again.;This information belongs to them.
yeah i tell you what though if you go price some of those tennis shoes i can see why now you know they're getting up in the hundred dollar range;The tennis shoes have a range of prices.
my walkman broke so i'm upset now i just have to turn the stereo up real loud;I'm upset that my walkman broke and now I have to turn the stereo up really loud.
But a few Christian mosaics survive above the apse is the Virgin with the infant Jesus, with the Archangel Gabriel to the right (his companion Michael, to the left, has vanished save for a few feathers from his wings).;Most of the Christian mosaics were destroyed by Muslims.  
(Read  for Slate 's take on Jackson's findings.);Slate had an opinion on Jackson's findings.
Gays and lesbians.;Heterosexuals.
At the end of Rue des Francs-Bourgeois is what many consider to be the city's most handsome residential square, the Place des Vosges, with its stone and red brick facades.;Place des Vosges is constructed entirely of gray marble.
I burst through a set of cabin doors, and fell to the ground-;I burst through the doors and fell down.
Fun for adults and children.;Fun for only children.
It's not that the questions they asked weren't interesting or legitimate (though most did fall under the category of already asked and answered).;All of the questions were interesting according to a focus group consulted on the subject.
Thebes held onto power until the 12th Dynasty, when its first king, Amenemhet Iwho reigned between 1980 1951 b.c. established a capital near Memphis.;The capital near Memphis lasted only half a century before its inhabitants abandoned it for the next capital. 
I don't mean to be glib about your concerns, but if I were you, I might be more concerned about the near-term rate implications of this $1.;I am concerned more about your issues than the near-term rate implications.
Issues in Data Synthesis.;Problems in data synthesis.
well you see that on television also;You can see that on television, as well.
Vrenna and I both fought him and he nearly took us.;Neither Vrenna nor myself have ever fought him.
This analysis pooled estimates from these two studies to develop a C-R function linking PM to chronic bronchitis.;The analysis proves that there is no link between PM and bronchitis.
He turned and smiled at Vrenna.;He smiled at Vrenna who was walking slowly behind him with her mother.
We sought to identify practices that were commonly implemented by the agencies within the past 5 years.;We want to identify practices commonly used by agencies in the last 5 years
The other men shuffled.;The other men were shuffled around.
States must show reasonable progress in their state implementation plans toward the congressionally mandated goal of returning to natural conditions in national parks and wilderness areas.;Itis not necessary for there to be any improvement.
well it's been very interesting;It has been very intriguing.
He started slowly back to the bunkhouse.;He returned slowly to the bunkhouse.
and it's it's quite a bit i think six something is the state and and uh the rest of the pie goes elsewhere but we're in a particular part of the state that's pretty well off so it's it's like we get a lot of that back as far as local taxation goes;I do not know exactly where the local taxes go.
They're made from a secret recipe handed down to the present-day villagers by their Mallorcan ancestors, who came here in the early 17th century as part of an official repopulation scheme.;The recipe passed down from Mallorcan ancestors is known to everyone.
yeah well you're a student right;Well you're a mechanics student right?
it really is i heard something that their supposed to be starting a huge campaign in New York about um child abuse and stopping child abuse and it's supposed to be like it's starting there supposed to be like a big nationwide campaign and you know so hopefully that will take off and really do something i don't know there's just;It's unfortunate that nobody is organizing a child abuse campaign.
Postal Service were to reduce delivery frequency.;The postal service could deliver less frequently.
And in another shift in the economy, it was found that lamb could be raised more cost-effectively on lowland farms in part because of the richer, more nutritious grazing land available there and as a result Lakeland farms became less profitable.;Another shift in the economy was found to be more nutritious.
The rule contains information collection requirements which will allow EPA to determine that detergent additives which are effective in controlling deposits are used and that emission control goals are realized.;The rule has data collection requirements which aid the EPA to realize their emission control goals.
"Almost every hill has to the northeast there's a Moorish fort; no fewer than four ruined fortresses guard the harbour entrance; and two more, still in good repair the Atalaya and Galeras castles protect the sea-front arsenal, of vital importance to Spain's military.";There are no castles Atalaya and Galeras.
Were they in there?;Were they supposed to be in there?
"Felicia's Journey takes place behind the eyes of its central  a young Irish girl, Felicia, who crosses the sea to England in a hopeful quest to find the father of her unborn child; and the fat, middle-aged catering manager, Hiditch, who takes a paternal interest in the lass when it becomes clear that her young man has caddishly given her the slip.";The woman did not care where the man was as long as it was far.
In the crypt are interred the remains of Voltaire and Rousseau, Hugo and Zola, assassinated Socialist leader Jean Jaurys, and Louis Braille, the inventor of the alphabet for the blind.;The remains of Voltaire and Rousseau, Hugo and Zola, assassinated Socialist leader Jean Jaurys, and Louis Braille are all interred in the crypt.
there's a uh a couple called um oh i'm going to forgot his name now uh Dirkson;I can't remember their name
Poirot, I exclaimed, with relief, and seizing him by both hands, I dragged him into the room. ;Poirot was now back and I was sorry that he would take over what I now considered my own investigation. 
The word aswan actually means trade or market in ancient Egyptian, signifying its most pre-eminent activity.;Aswan's meaning has not changed over time.
well what the market can bear and;THe market can't bear any of it.
And to show just how fast Japan's new rulers were catching on, two punitive expeditions were launched against Korea and China in the grand manner of 19th-century gunboat diplomacy.;Japan's new rulers were catching on quickly.
When the trust fund begins running cash deficits in 2016, the government as a whole must come up with the cash to finance Social Security's cash deficit by reducing any projected non-Social Security surpluses, borrowing from the public, raising other taxes, or reducing other government spending.;The public would generally prefer to see the government reduce its spending in other areas to finance Social Security.
These organizations invest the time and effort to understand their processes and how those processes contribute to or hamper mission accomplishment.;These organizations invest lots of time to understand how some processes can contribute to or haampe
and it is nice talking to you all righty;I talk to you every day.
You have access to the facts. ;The facts are accessible to you.
Build environment Engineering Manufacturing Production (all rate tooling) (1st set of production tooling);It is the first set of production tooling for manufacturing.
As long you have your own household in order, fretting about your neighbor's spending habits is a lot like fretting about the color of his living-room rug.;You should worry about the color of your neighbor's rug. 
yeah so um also of course they they can they join the they can always join the military service they are considered citizens i believe;They can't join the military service
She smiled back.;She was so happy she couldn't stop smiling.
According to the Office of the Actuary at the Health Care Financing Administration, the estimated net present value of future additional resources needed to fund HI benefits alone over the 75 years is $4.;The net present value of future additional resources for funding HI benefits was $4.
Thus, with respect to the litigation services Congress has funded, there is no alternative channel for expression of the advocacy Congress seeks to restrict.;This is the only channel of expression of the advocacy that Congress seeks to restrict.
How do we fix this?';Can we fix this?
but that takes too much planning;It doesn't take much planning.
I did not mention Monica in my lecture, but the first question I was asked was how President Clinton could do his job with all the distractions caused by the Monica Lewinsky affair.;They wanted to get through the lecture without any problems.
Analyzing Postal Service accounts for depreciation, fuel, and maintenance for city delivery carriers, we have estimated the average city delivery vehicle cost per route.;Driving cost estimates can be averaged will sufficient data.
Because it plays on my childhood imagination.;The art plays on my young imagination.
it's slow it's uh there are many better machines on the market right now for;This is the fastest machine, you won't find a better machine.
At the heart of the sanctuary, a small granite shrine once held the sacred barque of Horus himself.;Horus is a god.
Consider the United States Postal Service.;Forget the United States Postal Service.
In full costume.;He is wearing a mascot costume.
Although your journey is going to be difficult and at times you will doubt yourselves, the benefits to clients are well worth it and the satisfaction of hearing even the most recalcitrant of adversaries say that the new system is better than the one that went before is deeply rewarding.;The new system appears far more complex, but ultimately easier and more thorough.
Take a remarkable statistic that Shesol cites but lets pass relatively unexamined.;They had data that was very relevant but under used.
It might have seemed like manna from heaven - up to thousands of dollars dropping, often unexpectedly, into the hands of a half-million Kentucky and Indiana residents this month.;A recent law proposed by congress has resulted in the seizure of thousands of dollars from Kentucky residents.
Get individuals to invest their time and the funding will follow.;If individuals will invest their time, funding will come along, too.
i often think gee i wish i had a video camera because i could sure use ten thousand dollars so but i like things like Evening Shade with Burt Reynolds i really enjoy that and uh;Video cameras that I need are very expensive.
The man on the ground thinks for a moment and yells back, You must work in management.;There was no one on the ground, man or woman.
If, however, the evaluation question requires GAO to report on how satisfactory progress is or the reasons for problems in implementation, the more staff who can be on site over time, with the ricHe'st or thickest base for examining the situation as the many people involved see it, the sounder our causal conclusions and subsequent recommendations will be.;If the GAO has to report on the progress, the recommendations will be much poorer quality.
The economy could be still better.;The economy has never been better.
Hills and mountains are especially sanctified in the cult of Jainism.;The cult of Jainism hates nature.
The famous tenements (or lands ) began to be built.;The land remained deserted.
In the midst of this amazing amalgam of cultures is a passion for continuity.;A passion for continuity is not the most important of these cultures.
Putting aside stage as a horse-drawn conveyance, a popular delicatessen, a part of a rocket, and an opportunity to mock Gail Sheehy (who seems to get a free ride from News Quiz participants), this question all but demanded the invention of a violent theatrical event, and that's not easy.; Gail Sheehy is a popular target for mocking on other shows.
Entreaties to the apartment's owner have gone nowhere.;The apartment's owner is very responsive.
Mrs. Cavendish is in her mother-in-law's room. ;Mrs. Cavendish has left the building.
But I thought you'd sworn off coffee.;I thought that you vowed to drink more coffee.
We stink all the time.;We always stink.
In an increasingly interdependent world, many pressing problems that affect Americans can be addressed only through cooperation with other countries.;We should be independent and stay away from talking and working with other nations. 
Ca'daan continued.;Ca'daan refused to stop.
The rule requires broadcasters to maintain a file for public inspection containing a Children's Television Programming Report and to identify programs specifically designed to educate and inform children at the beginning of those programs and to furnish such information to the publishers of program guides.;The rule makes broadcasters keep a file about children's television programming.
well because how how hot i mean like like in the coldest that it gets in winter down there how much is it;It's hot all the time where I live, including winter.
Each of the men wore leather armor and dressed in the style of heavy riders.;The men were naked.
The man should have died instantly.;The man was perfectly fine. 
In summer the rice forms a green velvety blanket, then turns golden in autumn when it ripens and is harvested.;The rice is golden and harvestable in the summer, but turns green in autumn.
Just as the Daily Worker and New Masses , socialist papers from the 1930s, were peppered with citations of Marx and Engels, Educational Liberator is peppered with references to their libertarian equivalents--Friedrich Hayek and Ludwig von Mises.;Citations from Marx were used in socialist papers in the 30s. 
To be sure that any needlework item is the genuine article (as opposed to an inferior import or machine-made piece), look for a lead seal with an M, the emblem of IBTAM meaning it's been certified by the Instituto de Bordado, Tapecaras e Arte?�?sanato da Madeira (Institute of Madeiran Embroidery, Tapestry, and Handicrafts), an official island organization that has a showroom/museum on Rua Visconde de Anadia, 44.;There is a seal to show authenticity in needlework items made in Italy.
I'm not into this Multivista stuff, because what is some dumpy system when compared to a beautiful hyperextension of the sun somewhere over Kuchara, when compared to the golden hue of onion fried with the kse-fi waves, when compared to the number of dividers for credit membranes in a wallet of a rich man, when compared to the magnificent smell of a briessante roll dunked in wholesome milk synthetically enriched with substances boosting the secretion of happiness hormones, that one from two years ago, not three,' Gonzo said in a tone characteristic for a man who just discovered a solution to his life problem.;He's not into this multivista stuff because what is some dumpy system compared to the magnificent smell of a cinnamon roll dunked in wholesome milk.
No matter what I ended up doing, I think I would have found some way within that profession to do public work, because that's what I was taught, Zelon said. ;This is like using the postition as a banker to help make regulations better for the public.
