texte1,texte2
"The sun rises in the east every morning.","The sun sets in the west every evening."
"I enjoy drinking coffee on weekends.","I love sipping tea on weekdays."
"The cat sleeps on the couch.","The dog plays in the yard."
"Programming in Python is fun.","Coding in Java is challenging."
"The sky is clear and blue today.","The sky is cloudy and gray today."
"She walked to the park yesterday.","She ran to the store today."
"Books are a great source of knowledge.","Movies are a great source of entertainment."
"The car broke down on the highway.","The bike got a flat tire on the road."
"I need to finish my homework tonight.","I must complete my project by tomorrow."
"The flowers bloom in spring.","The leaves fall in autumn."
"He plays soccer with his friends.","She reads books with her sister."
"The restaurant serves Italian food.","The cafe offers French pastries."
"The river flows through the valley.","The stream runs through the forest."
"I bought a new phone last week.","I purchased a new laptop last month."
"The teacher explains the lesson clearly.","The professor lectures on complex topics."
"The beach is crowded in summer.","The park is quiet in winter."
"The clock ticks loudly in the room.","The fan hums softly in the corner."
"The child draws with crayons.","The artist paints with oils."
"The mountain trail is steep.","The forest path is flat."
"They traveled to Paris last year.","They visited London this year."
"The soup is too salty.","The stew is very spicy."
"The house has a red door.","The apartment has a blue window."
"The concert starts at 8 PM.","The movie begins at 9 PM."
"I wear glasses to read.","I use contacts to see far."
"The bakery sells fresh bread.","The market sells fresh fruit."
"The bird sings in the tree.","The frog croaks by the pond."
"The city is noisy at night.","The village is peaceful at dawn."
"The shirt is made of cotton.","The dress is made of silk."
"The exam was difficult.","The quiz was easy."
"The stars shine brightly tonight.","The moon glows softly tonight."
"The computer crashed again.","The tablet froze suddenly."
"The rain stopped this afternoon.","The snow started this evening."
"The dog barked at the stranger.","The cat meowed at the owner."
"The phone rang during the meeting.","The doorbell buzzed during dinner."
"The road is under construction.","The bridge is being repaired."
"The museum displays ancient artifacts.","The gallery showcases modern art."
"The baby cries when hungry.","The toddler laughs when happy."
"The train arrives on time.","The bus departs late."
"The coffee shop is always busy.","The library is usually quiet."
"The sunset paints the sky orange.","The sunrise colors the sky pink."
"The jacket is too tight.","The sweater is too loose."
"The wind blows gently today.","The storm rages fiercely tonight."
"The clock shows the wrong time.","The watch keeps perfect time."
"The garden needs more water.","The lawn needs more sunlight."
"The team won the championship.","The player scored the goal."
"The recipe calls for sugar.","The dish requires salt."
"The forest is dense with trees.","The desert is vast with sand."
"The meeting was productive.","The discussion was pointless."
"The lamp lights up the room.","The candle flickers in the dark."
"The child learns quickly.","The student studies diligently."
"The phone battery lasts all day.","The laptop battery dies quickly."
"The ocean waves crash loudly.","The lake water ripples quietly."
"The painting hangs on the wall.","The photo sits on the shelf."
"The market opens at 7 AM.","The store closes at 10 PM."
"The teacher writes on the board.","The student takes notes in the book."
"The pizza tastes delicious.","The pasta smells amazing."
"The airplane flies high.","The helicopter hovers low."
"The festival attracts many tourists.","The parade draws a large crowd."
"The pen writes smoothly.","The pencil sketches lightly."
"The chair is made of wood.","The table is made of glass."
"The riverbank is muddy.","The lakeshore is sandy."
"The movie theater is packed.","The concert hall is empty."
"The email was sent yesterday.","The letter was mailed today."
"The soup warms the body.","The ice cream cools the mouth."
"The runner trains every day.","The swimmer practices every morning."
"The clock tower chimes hourly.","The church bell rings daily."
"The dog chases its tail.","The cat hunts a mouse."
"The book has 300 pages.","The magazine has 50 pages."
"The sky turned dark suddenly.","The room lit up instantly."
"The apple tastes sweet.","The lemon tastes sour."
"The car drives smoothly.","The truck moves slowly."
"The park bench is wooden.","The garden chair is metal."
"The teacher assigns homework.","The coach gives instructions."
"The radio plays music.","The TV shows news."
"The forest trail winds uphill.","The mountain path climbs steeply."
"The bakery smells of bread.","The kitchen smells of spices."
"The child draws a house.","The artist sketches a portrait."
"The sun shines brightly.","The moon glows dimly."
"The rain falls heavily.","The snow falls lightly."
"The dog sleeps on the mat.","The cat rests on the cushion."
"The phone screen is cracked.","The laptop screen is clear."
